timestamp,crowd_count,density_level
2026-03-02 14:27:12,1,Low
2026-03-02 14:27:13,1,Low
2026-03-02 14:27:14,1,Low
2026-03-02 14:27:15,2,Low
2026-03-02 14:27:16,2,Low
2026-03-02 14:27:17,2,Low
2026-03-02 14:27:18,2,Low
2026-03-02 14:27:19,2,Low
2026-03-02 14:27:20,2,Low
2026-03-02 14:29:29,0,Low
2026-03-02 14:29:30,2,Low
2026-03-02 14:29:31,2,Low
2026-03-02 14:29:32,2,Low
2026-03-02 14:29:33,2,Low
2026-03-02 14:29:34,2,Low
2026-03-02 14:29:35,2,Low
2026-03-02 14:29:36,2,Low
2026-03-02 14:29:37,2,Low
2026-03-02 14:29:38,2,Low
2026-03-02 14:29:40,2,Low
2026-03-02 14:29:41,2,Low
2026-03-02 14:29:42,2,Low
2026-03-02 14:29:43,2,Low
2026-03-02 14:29:44,3,Low
2026-03-02 14:29:45,3,Low
2026-03-02 14:29:46,3,Low
2026-03-02 14:29:47,2,Low
2026-03-02 14:29:48,2,Low
2026-03-02 14:29:49,3,Low
2026-03-02 14:29:50,3,Low
2026-03-02 14:29:51,3,Low
2026-03-02 14:29:52,3,Low
2026-03-02 14:29:53,3,Low
2026-03-02 14:29:54,1,Low
2026-03-02 14:29:55,2,Low
2026-03-02 14:29:56,2,Low
2026-03-02 14:29:57,2,Low
2026-03-02 14:29:58,2,Low
2026-03-02 14:29:59,2,Low
2026-03-02 14:30:00,3,Low
2026-03-02 14:30:02,2,Low
2026-03-02 14:30:03,3,Low
2026-03-02 14:30:04,4,Low
2026-03-02 14:30:05,3,Low
2026-03-02 14:30:06,2,Low
2026-03-02 14:30:07,2,Low
2026-03-02 14:30:08,2,Low
2026-03-02 14:30:09,2,Low
